sender_address,total_burned_dwl,win_type
0x8bc2a10797753f93814a58eb5244035365884760,0.05,GTD
0x55d7809b8f750e48c7141a86395e299af56f739c,0.028825908276531049,GTD
0x024ecac022530d582d60029f4f2ceeeeea302ac8,0.018,GTD
0xcd7de58e73b7f58bb8680e3c06b03ed3a72bdb84,0.017887427147028926,GTD
0xf2439241881964006369c0e2377d45f3740f48a0,0.016165342664,GTD
0x867ecb67d5d325a2566a8641561c4a90a0cce371,0.016159393886961832,FCFS
0x996fb745f473356dc5d8d869dde848bebd05f536,0.0123,FCFS
0xe76666c78caafb60e315f4735714381deda9b3a9,0.011722208178,FCFS
0xb893ae8a1824604f6df4dfde52e2754921ba1a73,0.011638738212903495,FCFS
0xceadb39f5839edcb297d0692bb72ad1fc09943d9,0.011,FCFS
0x1618d46b5403f906470d003868848997a39a9f8d,0.011,FCFS
0x9a2a204648740b44f40f9662bd930320ce5de182,0.0108160311576744,FCFS
0xa3e9365d44baf9a07f9244102437a5e7a8ef30a7,0.010701306013182874,FCFS
0x8b164934697b9fe102edb4dbb88ccb902a5be955,0.01,FCFS
0x654f26dd1c9ee282c037e2ef9b902aff6684d5ae,0.009984295246273798,FCFS
0xf35d94a9578b0e5121b6a3395a9bd163ca82fe03,0.007531433718185225,FCFS
0xec6a31412aeb209d138747ff5c3313260e670057,0.006162660114124644,FCFS
0xe5f8a9946e17bd406cef0a6a9af85e9d3e94109c,0.006,FCFS
0xe9a5f1d791aeab8e403e5eaf1586564ae1f929e7,0.0055,FCFS
0xe58659e8bbcbfc6161b2ac16567a1bb40cc7cedc,0.005429943402966913,FCFS
0xf0b4a1576e7bd875b132505fbab5404d8970f421,0.005002896390306516,FCFS
0x5ccf7d1588723ed2a85e9427c841c3d912c5369c,0.004097076768510984,FCFS
0x6abce6d8f90cd034e6a1efa853c61ced6941aa7d,0.003686687343565101,FCFS
0x6c0cafe6165d1a37659b6f9728de30969c35cbf2,0.003,FCFS
0x043cf0414ad2991e910e464e4f3e80f14d7cf0b9,0.00273588428051959,FCFS
0x42946f3e24ebffa1973b1ce9144d78d611e1eceb,0.002032851117714624,FCFS
0xde8d5ae4c54e4de86afef3b9fe35b40d88194d61,0.001968761225105095,FCFS
0x29bb0928c4d8a0134bc3b4f41cf9aaf49385d40b,0.001798999334717791,FCFS
0x44236efb5bb9dbe73507dc9ece0ae4c53a7a193d,0.001688179772879602,FCFS
0x69c7f141e75427f1090427e0b20902523f97ec24,0.001490491999667727,FCFS
0x669019f0c78cc06c3a2d18b632435ab667123788,0.001358032624,FCFS
0x272be4a0e45305c991fe4f79cac499de3f8dc061,0.0011,FCFS
0x10507388339b5a3f37146c46ac82cd31f39c900b,0.001,FCFS
0xe1337d40a2fdf07f75fbee336204b89f5b31e525,0.000487550410379142,FCFS
0xef76cd13f4033f1ccf29c7060a2b9eec6fa2e538,0.000263272451412284,FCFS
